wgi_glacier_id, glacier_name, lat, lon, total_area, mean_elev, primary_class 
CL1L00201030, , -47.0900, -72.9300, 2.6000, , 6
CL1L00204007, , -47.7100, -73.5100, 0.5000, , 4
CL1L00204022, , -47.7100, -73.5700, 0.6000, , 6
CL1L00204047, , -47.5700, -73.8000, 0.3000, , 7
AR1I60113008, Heim N, -50.1420, -73.3330, 7.0000, , 5
AR1I60112003, Peninsula Mayo-Ameghino 1, -50.3330, -73.2000, 1.5000, , 5
CL1L00204023, , -47.7000, -73.5500, 1.4000, , 4
AR1I60112008, Fondo Canal Mayo 2, -50.3750, -73.3080, 0.8000, , 6
CL1L00204055, , -47.5100, -73.8500, 1.3000, , 6
CL1L32000003, HPS9, -49.0300, -73.6300, 55.0000, , 4
AR1I60212005, R Condor 2, -49.7860, -72.9500, 1.0000, , 6
CL1L00204076, , -47.6000, -73.4300, 1.6000, , 5
CL1L03133004, , -53.2330, -72.9670, 0.5000, , 6
AR1I60231006, Horquilla Fitz Roy W, -49.2670, -73.0830, 0.5000, , 6
CL1L03130002, , -53.2170, -73.0330, 0.1000, , 7
AR1I60234004, Mylodon N, -49.0830, -73.0330, 4.0000, , 6
CL1L00100021, GCN01, -52.6420, -73.0370, 0.8700, , 6
CL1L35000001, Ofhidro, -48.4800, -73.7900, 116.0000, , 4
AR1L44211001, R Carrera, -48.1330, -72.3330, 7.0000, , 5
CL1L00203020, , -47.7400, -73.3700, 0.6000, , 6
AR1I60238001, del Bosque S, -49.1830, -72.9210, 2.0000, , 6
CL1L00000022, GCN32, -52.9040, -73.0280, 0.9500, , 6
AR1I60220011, Este Cerro Campana, -49.6330, -73.1200, 7.0000, , 5
CL1L00201004, , -47.2300, -73.0000, 2.0000, , 6
CL1L00000025, GCN51, -52.9550, -72.9970, 0.7900, , 6
AR1I60111009, Ameghino, -50.4900, -73.3200, 76.0000, , 4
AR1L44211005, Aspero III, -47.8750, -72.3670, 1.5000, , 6
AR1I60220012, Mascarello N, -49.6250, -73.1420, 1.5000, , 6
CL1L45000001, Jorge Montt, -48.4400, -73.5800, 464.0000, , 4
AR1I60114006, Promontorio Cono, -49.8890, -73.3830, 1.5000, , 6
CL1L00202054, , -47.2800, -73.0800, 0.6000, , 6
CL1L00203028, , -47.6200, -73.3200, 0.9000, , 7
AR1I60236009, L del Desierto 7, -49.0470, -72.9250, 1.5000, , 5
AR1I60114004, Ante-cumbre Bertrand W, -49.9330, -73.3670, 1.0000, , 6
